Plant ID,Plant,Group,Treatment,Temp,CO2,Day 0,Day 0,Day 0,Day 1,Day 1,Day 1,Day 2,Day 2 ,Day 2,Day 3,Day 3,Day 3,Day 4,Day 4,Day 4,Day 5,Day 5,Day 5,Day 6,Day 6,Day 6,Day 7,Day 7,Day 7,Day 8,Day 8,Day 8,Day 9,Day 9,Day 9,Final_adaxial_AVG,Final_Abaxial_AVG,LCI_4,LCI_4,LCI_4,LCI_5,LCI_5,LCI_5,LCI_6,LCI_6,LCI_6,LCI_7,LCI_7,LCI_7,LCI_9,LCI_9,LCI_9,LCI_15,LCI_15,LCI_15,Final_LCI_Avg,Fresh_Mass,DryMass,Leaf_Disc
Mint0301,M.xpiperita,Mint03,Control,22,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,1.00,0.63,0.84,3.25,3.50,,,,3.00,1.53,2.20,,,,2.24,20.80,5.78,0.0063
Mint0302,M.xpiperita,Mint03,Control,22,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,3.38,0.67,0.67,0.86,1.80,,,,1.33,1.05,1.29,,,,1.22,27.80,7.90,0.0083
Mint0303,M.xpiperita,Mint03,Control,22,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,1.93,0.61,0.08,0.08,0.05,,,,1.35,0.86,0.60,,,,0.94,28.80,7.69,0.0082
Mint0401,M.xpiperita,Mint04,Warming+eCO2,28,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.50,0.32,0.21,0.42,0.64,,,,0.50,1.19,1.00,,,,0.90,36.60,10.18,0.0096
Mint0402,M.xpiperita,Mint04,Warming+eCO2,28,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,1.00,0.32,0.38,0.26,0.87,,,,0.62,0.80,0.70,,,,0.71,36.00,9.76,0.0089
Mint0403,M.xpiperita,Mint04,Warming+eCO2,28,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.21,0.24,0.48,0.24,0.16,,,,0.59,0.54,0.96,,,,0.69,38.50,10.90,0.0091
Nast0101,T.majus,Nast01,eCO2,22,800,,,,,,,,,,,,,,,,42,55,72,49,45,65,,,,,,,36,53,54,47.67,47.67,,,,,,,,,,,,,,,,,,,,11.80,1.44,0.0051
Nast0102,T.majus,Nast01,eCO2,22,800,,,,,,,,,,,,,,,,34,15,49,47,45,32,,,,,,,6,46,34,28.67,28.67,,,,,,,,,,,,,,,,,,,,20.50,4.82,0.0064
Nast0103,T.majus,Nast01,eCO2,22,800,,,,,,,,,,,,,,,,52,25,44,51,44,45,,,,,,,12,45,24,27.00,27.00,,,,,,,,,,,,,,,,,,,,15.80,3.23,0.0058
Nast0201,T.majus,Nast02,Warming,28,400,,,,,,,,,,,,,,,,21,28,47,24,20,23,,,,,,,9,48,8,21.67,21.67,,,,,,,,,,,,,,,,,,,,20.40,2.19,0.003
Nast0202,T.majus,Nast02,Warming,28,400,,,,,,,,,,,,,,,,8,22,40,27,24,44,,,,,,,19,38,45,34.00,34.00,,,,,,,,,,,,,,,,,,,,9.70,0.93,0.004
Nast0203,T.majus,Nast02,Warming,28,400,,,,,,,,,,,,,,,,57,32,34,23,59,25,,,,,,,48,59,23,43.33,43.33,,,,,,,,,,,,,,,,,,,,24.10,3.06,0.0026
Nast0301,T.majus,Nast03,Control,22,400,,,,,,,,,,,,,,,,47,48,72,24,20,23,,,,,,,24,45,29,32.67,32.67,,,,,,,,,,,,,,,,,,,,34.80,7.42,0.0145
Nast0302,T.majus,Nast03,Control,22,400,,,,,,,,,,,,,,,,36,40,42,27,24,44,,,,,,,25,44,39,36.00,36.00,,,,,,,,,,,,,,,,,,,,29.30,1.94,0.0088
